"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0264129638672","","","","","","","","","","99.1384124755859","","","","","","","","99.5","","99.5199966430664","",
"Africa Eastern and Southern","AFE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.5460891723633","68.8157806396484","69.2840194702148","69.7758178710938","69.8466796875","69.5751113891602","69.7626571655273","69.8273391723633","70.3099365234375","70.4428405761719","70.6507110595703","69.8059692382813","70.5370712280273","70.495979309082","70.5720596313477","72.3577117919922","72.7237319946289","73.9226684570313","71.9964370727539","70.0151901245117","71.0860137939453","71.5309600830078","72.0828170776367","73.3522415161133","75.8786926269531","77.6293411254883","78.5674819946289","78.9466094970703","79.2564086914063","79.8176803588867","80.2011413574219","80.4494781494141","80.9867477416992","81.2253799438477","",
"Afghanistan","AFG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.0663509368896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9900512695313","","","","64.3399963378906","","","","","","55.9294013977051",
"Africa Western and Central","AFW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","55.4703216552734","55.7589416503906","56.6253890991211","57.086669921875","58.0192108154297","58.7916793823242","59.0583000183105","60.2550506591797","61.0271911621094","61.793098449707","61.3538818359375","62.1075592041016","62.9507293701172","64.2075805664063","64.740478515625","60.1511192321777","61.1388282775879","61.5082702636719","61.9541282653809","63.2643585205078","63.2524681091309","67.566276550293","62.44580078125","62.2948799133301","62.6074905395508","62.9215812683105","63.5051307678223","64.3677825927734","64.9990921020508","66.1315994262695","67.1303329467773","67.5525283813477","68.6518783569336","70.8962097167969","71.2883682250977","71.4601516723633","",
"Angola","AGO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1944885253906","","","","","","","","","","","","","77.4311294555664","","","","","","","82.8300018310547",
"Albania","ALB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4351501464844","","","","","","","98.8312072753906","95.6800003051758","","98.7911911010742","99.2313995361328","","","","","","99.3300018310547","","","99.4199981689453",
"Andorra","AND","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","61.2246894836426","61.5598487854004","61.9431915283203","62.4939193725586","63.2040901184082","63.9036102294922","64.6873321533203","65.8748016357422","67.0487899780273","68.3995971679688","69.2831726074219","70.3884506225586","71.405143737793","72.5039367675781","73.9708404541016","74.9285736083984","74.6734237670898","75.5242233276367","76.3947525024414","77.4466781616211","78.2327499389648","78.89990234375","79.609260559082","80.1633224487305","81.11572265625","82.0952606201172","82.9789199829102","83.6083679199219","84.0318832397461","82.6152420043945","83.3572616577148","84.0297927856445","81.311279296875","81.6634979248047","81.9905776977539","85.9812622070313","86.3672866821289","87.2756576538086","83.8952407836914","86.1906814575195","86.7238693237305","82.9618988037109","83.0786972045898","83.1800308227539","",
"United Arab Emirates","ARE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","63.0476112365723","","","","","","","","","","82.4726409912109","","","","","","","","","","","","","","","","","","","","95.0064468383789","","","","","","","","","","","","","","96.3115768432617","","99.6626663208008",
"Argentina","ARG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","96.8825378417969","","","","","","","","","","","98.3046417236328","","","","","","","","","","98.9166564941406","","","","","99.4460830688477","","","99.5842895507813","99.2986373901367","99.6282424926758","99.3758697509766","99.5513229370117","99.2967071533203","99.559700012207","99.5027084350586","","99.5055236816406","","","",
"Armenia","ARM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9099578857422","","","","","","","","","","","100","99.8072814941406","","","","100","","","","","100","99.8473968505859","","","","","99.8473968505859","99.8470230102539","","","99.8738174438477","",
"American Samoa","ASM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","97.6542129516602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.886100769043","","","","","","","100","99.9891510009766","","99.951301574707","99.9505996704102","99.9440994262695","99.9367523193359","99.9524688720703","99.9569931030273","99.9427795410156","99.9404830932617","99.9380493164063","","99.9339294433594","","",
"Burundi","BDI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.9765892028809","","","","","","","","","","","53.5552101135254","","","","","","","","","","73.3300628662109","","","","","","","","61.7387886047363","","74.4599990844727","","","","79.5596084594727","","","88.2217712402344","","","","92.5800018310547",
"Belgium","BEL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","29.7867393493652","","","","","","","","","","","","","39.8766098022461","","","","","","","","","47.9599990844727","45.3096199035645","","","","42.3627014160156","","","","","","52.4924697875977","","","","","","60.9480781555176","","","65.0400009155273",
"Burkina Faso","BFA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","14.3775196075439","","","","","","","","","","","","","","","","20.180290222168","","","","","19.4141502380371","","","","","","","31.2292594909668","","32.9666213989258","32.730598449707","39.2577781677246","","","37.189998626709","","","","50.0962982177734","","","","58.8739814758301","","","65.4800033569336",
